station_id,station_code,station_name,latitude,longitude,altitude,continent,country,region,group
38115,Tr18_CA_DO1,Blue Chalk Lake,45.1999,-78.9432,344.0,North America,Canada,Ont,Trends
38116,Tr18_CA_DO2,Chub Lake,45.2138,-78.9836,343.0,North America,Canada,Ont,Trends
38117,Tr18_CA_DO3,Crosson Lake,45.084,-79.036,371.0,North America,Canada,Ont,Trends
38118,Tr18_CA_DO4,Dickie Lake,45.151,-79.0876,379.0,North America,Canada,Ont,Trends
38119,Tr18_CA_DO5,Harp Lake,45.3798,-79.1335,327.0,North America,Canada,Ont,Trends
38120,Tr18_CA_DO6,Heney Lake,45.128,-79.103,342.0,North America,Canada,Ont,Trends
38121,Tr18_CA_DO7,Plastic,45.1801,-78.8235,346.0,North America,Canada,Ont,Trends
38122,Tr18_CA_DO8,Red Chalk Lake (Main),45.19,-78.9486,332.0,North America,Canada,Ont,Trends
38085,Tr18_CA01,"Ontario, Algoma Region, Batchawana Lake",47.06,-84.393,497.0,North America,Canada,Ont,Trends+Core
38086,Tr18_CA02,"Ontario, Algoma Region, Wishart Lake",47.041,-84.402,388.0,North America,Canada,Ont,Trends+Core
38087,Tr18_CA03,"Ontario, Algoma Region, Little Turkey Lake",47.041,-84.406,375.0,North America,Canada,Ont,Trends+Core
38088,Tr18_CA04,"Ontario, Algoma Region, Turkey Lake",47.05,-84.408,372.0,North America,Canada,Ont,Trends+Core
38089,Tr18_CA05,"Quebec, Lac Veilleux",47.39,-71.572,716.0,North America,Canada,QuMaVt,Trends+Core
38090,Tr18_CA06,"Quebec, Lac Josselin",47.367,-71.667,671.0,North America,Canada,QuMaVt,Trends+Core
38091,Tr18_CA07,"Quebec, Lac Bonneville",47.273,-71.403,808.0,North America,Canada,QuMaVt,Trends+Core
38092,Tr18_CA08,"Quebec, Lac Laflamme",47.317,-71.117,777.0,North America,Canada,QuMaVt,Trends+Core
38093,Tr18_CA09,"Quebec, Lac Macleod",47.467,-70.973,975.0,North America,Canada,QuMaVt,Trends+Core
38095,Tr18_CA11,"Nova Scotia, Mountain Lake",44.323,-65.258,120.0,North America,Canada,AtlCan,Trends+Core
38096,Tr18_CA12,"Nova Scotia, Little Red Lake",44.337,-65.391,150.0,North America,Canada,AtlCan,Trends+Core
38097,Tr18_CA13,"Nova Scotia, Kejimkujik Lake",44.38333,-65.25,375.0,North America,Canada,AtlCan,Trends+Core
38098,Tr18_CA14,"Nova Scotia, Beaverskin Lake",44.305,-65.326,120.0,North America,Canada,AtlCan,Trends+Core
38099,Tr18_CA16,"Ontario, Lake 224",49.658,-93.717,408.0,North America,Canada,Ont,Trends+Core
38100,Tr18_CA17,"Ontario, Lake 239",49.707,-93.72,393.0,North America,Canada,Ont,Trends+Core
38101,Tr18_CA19,"Ontario, Lake 305",49.689,-93.686,404.0,North America,Canada,Ont,Trends+Core
38102,Tr18_CA20,"Ontario, Lake 373",49.74,-93.793,424.0,North America,Canada,Ont,Trends+Core
38103,Tr18_NF02YH0013,Unnamed,49.596667,-57.733333,665.0,North America,Canada,AtlCan,Trends
38104,Tr18_NF02YH0014,Unnamed,49.437222,-57.531667,571.0,North America,Canada,AtlCan,Trends
38105,Tr18_NF02YH0015,Unnamed,49.460833,-57.525,457.0,North America,Canada,AtlCan,Trends
38106,Tr18_NF02YH0025,Unnamed,49.562222,-57.726389,673.0,North America,Canada,AtlCan,Trends
38107,Tr18_NF02YS0003,Rattle Pond,48.513611,-53.824444,30.0,North America,Canada,AtlCan,Trends
38108,Tr18_NF02YS0016,Unnamed #2,48.549722,-53.849722,61.0,North America,Canada,AtlCan,Trends
38109,Tr18_NF02YS0021,Bog Pond,48.494167,-54.133056,197.0,North America,Canada,AtlCan,Trends
38110,Tr18_NF02YS0029,Long Waters,48.458056,-54.055556,130.0,North America,Canada,AtlCan,Trends
38111,Tr18_NF02YS0045,Jay Pond,48.636667,-53.884167,73.0,North America,Canada,AtlCan,Trends
38112,Tr18_NF02YS0065,Shallow #3,48.504167,-53.825,43.0,North America,Canada,AtlCan,Trends
38113,Tr18_NF02YS0069,Ochre Hill Pond,48.5025,-53.963889,152.0,North America,Canada,AtlCan,Trends
38114,Tr18_NF02YS0070,Chatman,48.494167,-53.984167,150.0,North America,Canada,AtlCan,Trends
38123,Tr18_NS01DA0002,TEDFORD LAKE,44.1,-66.0167,61.0,North America,Canada,AtlCan,Trends
38124,Tr18_NS01DA0003,KILLAM LAKE,44.0006,-66.0819,30.0,North America,Canada,AtlCan,Trends
38125,Tr18_NS01DA0004,CEDAR LAKE,44.0264,-66.1106,15.0,North America,Canada,AtlCan,Trends
38126,Tr18_NS01DA0005,LOWER CORNING LAKE,44.0503,-66.0828,30.0,North America,Canada,AtlCan,Trends
38127,Tr18_NS01DA0006,PIERCE LAKE,44.1192,-66.0969,35.0,North America,Canada,AtlCan,Trends
38128,Tr18_NS01EA0009,BRENTON LAKE,43.9611,-66.0692,30.0,North America,Canada,AtlCan,Trends
38129,Tr18_NS01EA0010,TREFRY LAKE,43.8353,-66.0439,15.0,North America,Canada,AtlCan,Trends
38130,Tr18_NS01EA0019,SNARE LAKE,44.1056,-65.9756,61.0,North America,Canada,AtlCan,Trends
38131,Tr18_NS01EA0020,BIRD LAKE,43.9731,-65.9442,61.0,North America,Canada,AtlCan,Trends
38132,Tr18_NS01EA0048,LK GEORGE,43.9994,-66.0542,46.0,North America,Canada,AtlCan,Trends
38133,Tr18_NS01EA0050,JESSE LAKE,44.0331,-66.0081,30.0,North America,Canada,AtlCan,Trends
38134,Tr18_NS01ED0010,PEBBLELOGGITCH LAKE,44.3014,-65.3514,120.0,North America,Canada,AtlCan,Trends
38135,Tr18_NS01ED0013,BEN LAKE,44.3439,-65.3328,170.0,North America,Canada,AtlCan,Trends
38136,Tr18_NS01ED0043,MOUNT TOM LAKE,44.3681,-65.2997,120.0,North America,Canada,AtlCan,Trends+Core
38137,Tr18_NS01ED0047,GEORGE LAKE,44.3403,-65.2206,87.0,North America,Canada,AtlCan,Trends
38138,Tr18_NS01ED0048,LOON LAKE,44.3167,-65.1914,86.0,North America,Canada,AtlCan,Trends
38139,Tr18_NS01ED0067,BACK LAKE,44.2931,-65.2678,100.0,North America,Canada,AtlCan,Trends
38140,Tr18_NS01ED0070,BIG DAM WEST LAKE,44.4608,-65.2939,120.0,North America,Canada,AtlCan,Trends
38141,Tr18_NS01ED0073,BIG DAM EAST LAKE,44.4533,-65.2686,113.0,North America,Canada,AtlCan,Trends
38142,Tr18_NS01ED0075,PESKOWESK LAKE,44.3167,-65.2828,105.0,North America,Canada,AtlCan,Trends
38143,Tr18_NS01ED0076,GRAFTON LAKE,44.3858,-65.1775,100.0,North America,Canada,AtlCan,Trends
38144,Tr18_NS01ED0077,HIGH LAKE,44.3558,-65.2581,90.0,North America,Canada,AtlCan,Trends
38145,Tr18_NS01ED0078,COBRIELLE LAKE,44.3164,-65.2328,129.0,North America,Canada,AtlCan,Trends
38146,Tr18_NS01ED0080,BIG RED LAKE,44.3494,-65.3828,160.0,North America,Canada,AtlCan,Trends
38147,Tr18_NS01ED0081,MUD LAKE,44.28,-65.2206,100.0,North America,Canada,AtlCan,Trends
